ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
503,C,Ship,3,4,191,4,medium,F,43,2903
9507,A,Ship,4,1,243,3,medium,M,10,5832
1031,C,Ship,4,1,239,2,high,M,16,2504
8318,F,Ship,5,3,245,5,low,F,10,1112
3277,D,Road,3,4,134,3,medium,F,9,4230
2723,C,Road,4,3,214,4,low,M,34,3446
3244,B,Ship,4,2,232,3,medium,M,8,4658
1592,F,Ship,5,3,252,2,low,M,11,3036
4118,F,Flight,4,4,225,3,low,M,10,4486
10836,F,Flight,5,4,143,2,low,F,8,5291
3932,F,Ship,2,4,187,6,medium,F,9,4388
10510,B,Ship,3,4,247,2,low,M,2,4975
2977,D,Ship,3,4,231,3,medium,M,39,3792
9590,F,Flight,3,4,166,4,low,F,1,5533
2649,A,Ship,3,1,135,4,medium,M,47,1840
2203,D,Flight,5,3,266,3,low,F,19,2508
10782,F,Ship,4,2,267,5,medium,F,2,1307
9526,B,Ship,3,5,251,3,low,M,1,5073
3792,F,Ship,3,3,268,10,medium,M,2,5626
6077,C,Ship,3,4,188,4,low,F,6,5016
10332,F,Ship,4,5,161,3,medium,F,2,5378
5455,D,Road,5,5,132,2,high,F,1,4233
9491,C,Ship,4,1,155,3,medium,M,9,4443
10231,D,Ship,4,3,137,3,medium,M,5,4854
454,B,Ship,4,1,275,10,medium,F,23,2726
1528,B,Ship,5,5,229,2,medium,F,59,3844
7166,F,Ship,$7,5,289,4,low,F,5,1864
8857,D,Ship,4,1,211,7,high,M,4,4476
1580,F,Ship,3,5,137,3,high,F,28,1815
9216,F,Ship,3,4,162,3,medium,M,7,5313
6018,F,Road,6,3,269,4,low,M,3,1006
10826,F,Flight,4,4,258,3,medium,M,8,5324
10965,A,Flight,5,3,224,5,low,M,5,1842
6890,F,Ship,6,2,279,4,low,M,1,1150
5511,A,Ship,6,2,305,4,low,M,8,1015
3862,B,Ship,4,5,226,2,high,M,2,5881
2202,F,Flight,3,4,144,2,low,F,33,1811
10667,C,Road,4,5,262,6,medium,M,1,1249
115,D,Road,3,5,168,2,high,M,50,1616
6841,D,Road,4,5,142,2,low,M,2,4472
5475,A,Road,4,4,253,2,low,F,6,5892
3854,F,Ship,3,3,232,3,low,F,9,5016
2556,F,Ship,3,5,150,2,low,M,29,1934
2053,D,Flight,3,5,162,2,low,M,28,1948
4485,A,Ship,4,5,171,4,low,F,4,5265
2052,F,Flight,4,5,221,3,low,F,43,3561
2565,A,Ship,4,2,252,3,medium,F,43,3273
10740,F,Ship,5,3,242,5,low,F,9,1716
3298,B,Flight,3,3,205,2,medium,M,6,4989
9819,A,Ship,3,1,144,2,medium,M,8,5378
4432,B,Ship,4,2,257,3,medium,M,8,5045
2867,C,Road,3,3,274,2,medium,F,59,3436
2258,F,Ship,4,5,178,3,low,F,5,1012
9827,C,Ship,5,2,165,5,medium,M,9,5313
4806,F,Flight,$7,5,278,4,low,F,5,1572
5059,D,Road,4,4,216,2,low,F,4,5984
1468,B,Ship,3,5,250,4,low,F,11,3464
6231,A,Ship,6,5,282,4,medium,F,4,1013
8962,B,Ship,6,4,257,6,low,F,7,4265
2601,A,Flight,5,4,190,2,medium,F,23,3960
3034,B,Ship,4,4,260,2,low,M,17,3068
8571,A,Ship,3,1,165,3,low,M,10,5823
4824,F,Ship,6,1,263,4,low,F,6,1153
6869,C,Ship,6,4,261,4,low,F,5,1794
8091,A,Flight,3,1,245,3,low,F,4,5449
2449,D,Road,5,3,136,3,medium,F,13,1446
3557,C,Road,5,2,244,2,low,M,10,5696
259,D,Road,2,3,158,3,low,F,13,1245
502,B,Ship,3,2,177,3,low,M,10,1641
1463,C,Ship,5,1,248,3,low,M,37,3830
4731,A,Ship,5,1,269,3,low,F,5,5031
7814,F,Flight,4,1,240,3,low,F,4,4787
8829,A,Ship,4,3,246,5,low,F,1,1673
7822,B,Flight,5,5,142,4,medium,M,8,5372
2478,F,Flight,5,2,209,4,medium,M,15,3330
3509,C,Ship,3,3,275,4,medium,M,6,4687
6723,A,Flight,4,4,193,3,medium,F,3,4596
8770,B,Flight,5,2,174,5,medium,M,8,4656
1209,A,Road,3,1,154,2,low,F,44,1994
1027,D,Ship,3,1,138,5,medium,F,8,1349
1517,C,Flight,3,5,182,3,medium,M,34,3595
2194,B,Flight,3,2,272,3,medium,F,40,3766
343,D,Ship,4,5,162,2,medium,M,64,1918
2459,C,Road,2,5,168,3,low,M,37,1717
3592,B,Ship,2,3,134,10,high,F,1,5632
5921,C,Ship,5,5,154,2,medium,M,3,4669
5671,D,Ship,5,5,200,3,low,M,6,4401
2846,F,Ship,4,5,146,3,low,F,9,1685
1137,A,Ship,5,5,198,5,medium,M,36,2803
8661,A,Ship,4,2,271,5,medium,M,4,1633
568,B,Ship,5,2,268,3,low,M,19,2526
463,D,Ship,3,4,244,8,low,M,1,2703
6151,D,Road,4,3,179,3,low,F,3,5495
2165,C,Ship,5,4,165,3,medium,F,48,1240
7863,A,Ship,5,1,132,4,medium,F,4,5461
3157,D,Flight,3,5,132,3,low,M,7,4013
1379,C,Flight,3,1,110,3,low,F,54,1155
5255,C,Ship,6,3,274,4,low,M,10,1174
7987,D,Ship,4,1,233,7,medium,M,7,4272
817,D,Road,4,1,176,3,medium,F,36,1891
6410,F,Ship,3,2,164,2,medium,F,7,4150
5757,A,Flight,6,1,266,4,medium,F,2,1862
10963,D,Flight,4,1,261,4,medium,F,7,5600
9484,B,Ship,3,2,241,3,medium,F,9,4301
6887,C,Ship,6,3,278,4,high,F,3,1033
2051,C,Flight,5,4,180,2,low,M,52,1122
4711,D,Ship,4,2,224,2,medium,F,8,4781
4213,D,Ship,3,5,222,3,low,M,4,5149
1948,B,Ship,3,2,116,2,low,F,22,1430
9242,F,Ship,4,4,166,6,low,F,6,4100
618,F,Ship,5,3,245,2,medium,F,8,3231
10195,D,Ship,6,4,310,4,medium,M,1,1494
5710,B,Ship,4,5,242,2,low,F,1,5682
4805,C,Flight,6,2,152,2,low,F,9,1993
6107,C,Ship,4,2,246,3,high,M,5,5960
8411,C,Ship,3,3,241,2,high,M,2,4836
2059,D,Flight,5,2,215,2,medium,M,46,3942
1690,B,Ship,2,4,137,3,high,F,41,1176
2286,F,Ship,4,1,135,2,high,F,25,1009
4487,C,Ship,3,4,174,3,medium,F,4,4051
3224,F,Ship,5,4,269,3,low,F,3,4489
10893,A,Ship,4,5,167,2,low,F,7,5800
7821,A,Flight,4,5,265,2,medium,F,9,5135
7370,F,Ship,5,4,211,2,medium,F,7,4734
324,F,Ship,3,1,192,2,low,M,33,2818
1427,C,Ship,6,3,294,4,low,M,52,1667
7521,A,Road,3,5,204,2,low,M,1,4133
2426,F,Ship,3,1,150,2,medium,F,46,1431
7096,B,Ship,5,2,195,6,high,M,5,5339
4582,B,Ship,6,3,213,4,low,F,2,5349
4135,D,Ship,4,1,193,4,low,F,4,4796
5488,B,Flight,5,5,169,4,low,F,2,4188
1390,B,Ship,5,3,167,3,low,F,51,1573
8948,F,Ship,4,4,220,3,low,F,4,5622
721,D,Ship,5,3,170,3,low,F,12,1018
1960,B,Ship,4,5,268,3,low,F,64,2386
2929,D,Ship,5,3,114,6,medium,F,60,1746
7955,C,Flight,5,1,239,5,low,F,7,1859
9379,D,Ship,4,4,167,4,low,M,2,5908
3707,C,Flight,3,2,274,2,medium,M,5,5161
132,F,Road,3,4,144,3,low,M,50,1865
10603,D,Ship,5,2,176,4,low,M,1,5810
9816,F,Ship,4,3,125,3,low,F,10,5883
4960,B,Ship,5,5,191,4,medium,F,10,4933
5526,F,Ship,6,1,260,4,medium,M,9,1698
5608,B,Road,3,1,166,2,medium,F,9,5853
6319,D,Flight,6,3,191,6,medium,F,2,4471
9441,A,Road,5,2,269,6,medium,F,5,1097
6552,F,Road,$7,3,264,4,medium,M,3,1296
3113,C,Ship,3,5,195,3,medium,F,47,2439
9248,F,Ship,4,3,256,2,medium,F,3,4679
7233,A,Ship,5,2,174,4,medium,M,8,5627
4910,F,Road,3,1,257,2,low,M,6,4897
10354,B,Ship,3,2,196,6,low,M,6,5414
2703,A,Ship,5,3,244,3,low,F,52,3118
2771,C,Ship,4,4,132,4,medium,F,44,1692
2266,B,Ship,4,4,223,3,medium,F,51,3895
2647,D,Ship,3,3,124,3,medium,M,59,1959
7022,F,Ship,4,2,227,2,low,M,8,4878
3784,B,Ship,3,3,201,10,high,M,10,5281
7085,C,Ship,4,1,168,2,medium,F,1,5698
1042,B,Ship,3,1,236,3,medium,M,28,3290
2371,D,Ship,4,4,161,4,low,F,14,1194
1220,F,Road,5,5,169,4,medium,F,23,1922
9050,F,Flight,3,4,238,2,low,M,5,4349
9424,B,Ship,$7,5,289,4,low,M,9,1904
10597,D,Ship,3,1,167,3,low,F,4,5943
693,A,Flight,4,1,250,2,low,M,17,3544
684,F,Flight,4,5,137,4,high,M,29,1262
1495,D,Road,3,5,192,2,medium,F,5,2339
10333,D,Ship,5,4,161,5,medium,M,1,5779
3123,A,Ship,4,1,237,4,medium,F,22,2231
4142,F,Ship,3,3,214,3,medium,F,2,4964
9881,C,Flight,6,3,296,4,low,F,4,1650
4825,D,Ship,5,1,285,4,medium,F,10,1428
3912,F,Ship,4,3,104,4,medium,M,3,4548
8798,F,Ship,3,3,150,2,medium,M,9,4100
806,F,Road,4,1,133,3,low,M,57,1379
941,C,Road,2,1,113,5,low,F,9,1957
8137,D,Ship,4,3,177,3,low,M,1,5282
9119,C,Ship,3,3,247,2,high,F,8,4593
4663,D,Flight,5,2,279,4,low,F,8,4418
1780,B,Flight,3,2,169,2,medium,M,61,1511
7777,D,Ship,5,1,249,3,low,F,8,5940
1696,B,Ship,5,5,150,5,medium,F,61,1091
3755,C,Ship,5,1,111,4,high,F,2,5978
5424,F,Ship,5,3,134,2,low,M,10,5279
4873,D,Ship,6,4,138,3,medium,F,4,4225
3292,B,Flight,5,1,270,2,high,M,10,5360
2103,A,Ship,3,5,164,3,low,M,61,1473
1411,D,Ship,3,4,110,3,low,F,55,1281
8842,B,Ship,$7,1,269,4,medium,M,4,1118
3965,C,Road,3,1,260,2,medium,F,6,4332
2878,B,Flight,5,5,240,3,medium,F,12,2723
3050,F,Ship,3,4,271,4,medium,F,16,2693
8500,B,Flight,4,5,234,3,medium,F,10,4204
5368,B,Ship,5,2,203,6,medium,F,7,5289
7009,D,Ship,4,1,196,2,low,M,3,4752
3090,F,Ship,4,5,219,3,medium,M,27,3684
7284,F,Ship,4,3,151,3,medium,F,9,4908
3409,D,Road,3,2,188,3,low,M,4,5376
7683,A,Flight,5,2,241,2,medium,M,9,4965
5553,A,Ship,3,5,143,2,low,F,6,4253
5997,A,Ship,6,5,249,4,medium,M,3,1710
10238,F,Ship,5,1,233,3,low,F,9,5039
10910,F,Ship,4,2,229,4,low,M,8,5385
5923,D,Ship,3,3,208,2,medium,F,5,5661
10033,D,Ship,3,3,224,6,medium,M,10,4221
3273,A,Road,5,4,171,4,low,M,7,5359
3797,C,Ship,6,4,237,5,medium,F,10,5434
4853,C,Ship,4,4,254,4,low,F,10,4827
2058,F,Flight,3,4,254,2,high,M,56,3266
1693,D,Ship,4,4,212,4,medium,F,2,3830
7469,C,Ship,6,1,286,4,medium,M,1,1636
9981,A,Road,4,3,227,3,medium,M,8,5829
9207,A,Ship,3,2,226,2,low,M,10,4254
10608,F,Ship,4,3,245,4,medium,F,5,4660
7641,A,Ship,4,1,151,3,low,F,4,5610
4160,F,Ship,3,3,134,4,medium,M,7,5370
9333,A,Flight,6,4,144,4,low,F,5,4631
9704,F,Road,$7,3,274,5,low,F,9,1764
9350,F,Ship,$7,5,255,4,low,F,2,1826
3885,A,Ship,3,4,187,2,medium,M,4,5139
1082,F,Road,6,3,270,3,low,F,56,3251
2038,B,Road,4,1,280,3,medium,M,2,3366
7798,B,Road,5,3,193,4,medium,F,3,5026
4936,B,Flight,3,2,178,3,low,M,4,5119
5817,A,Ship,3,1,213,3,high,F,6,5535
9672,F,Ship,6,5,245,4,low,F,7,1521
8459,C,Ship,4,3,207,3,low,F,7,4220
1178,F,Ship,3,2,224,2,low,F,49,3749
1958,F,Ship,3,1,202,3,low,F,1,3738
8847,A,Ship,5,1,258,3,medium,F,8,5694
1752,F,Ship,4,4,136,3,low,M,6,1900
7825,D,Flight,3,2,142,3,low,M,9,4234
797,C,Road,4,4,248,4,low,F,49,2322
3908,F,Ship,3,1,229,3,low,M,5,4971
1776,F,Road,5,5,190,4,medium,M,12,2947
4493,C,Ship,4,4,252,4,medium,F,4,4832
5069,C,Flight,5,2,233,3,high,F,4,4140
9796,B,Ship,5,4,222,2,high,M,8,4996
1329,A,Ship,5,1,201,3,medium,F,65,2488
8771,C,Flight,3,4,251,3,medium,M,5,5608
4327,D,Ship,5,4,132,6,low,F,8,1327
2930,F,Ship,6,5,213,6,low,M,7,2709
589,D,Ship,3,1,201,6,medium,F,3,2497
3877,D,Ship,4,4,266,2,low,F,2,4290
2808,F,Ship,4,2,216,2,low,F,26,2431
3097,D,Ship,2,3,188,2,high,M,25,2033
5543,C,Ship,3,4,142,2,medium,F,7,5346
766,B,Ship,4,2,259,4,low,F,13,2495
10204,B,Ship,5,1,245,5,low,M,9,1694
257,C,Road,2,2,127,3,low,M,13,1128
7783,D,Road,3,3,196,3,low,M,9,4431
3283,D,Road,3,4,175,3,low,F,3,4449
9415,D,Ship,$7,1,301,4,low,M,10,1869
7061,C,Ship,3,1,173,3,low,F,3,4453
3481,D,Ship,4,1,258,3,medium,M,7,4159
7439,C,Ship,3,5,275,4,medium,M,10,5066
455,C,Ship,4,5,133,3,low,F,53,1467
8104,B,Ship,3,2,161,3,medium,F,1,5757
8793,A,Ship,3,1,160,3,medium,F,5,5524
3537,A,Road,4,5,259,2,low,M,7,4390
8939,C,Ship,5,3,162,4,low,F,6,1968
5753,C,Flight,4,4,236,3,low,M,10,4347
9421,D,Ship,6,2,292,4,medium,M,2,1149
2666,F,Ship,4,1,178,3,medium,M,9,1006
5802,F,Ship,6,5,176,3,low,F,10,5307
6847,D,Flight,4,2,250,3,low,M,5,4488
194,F,Ship,2,2,158,3,low,M,28,1968
10331,C,Ship,5,3,210,6,low,M,6,4203
2692,B,Ship,5,5,133,2,low,F,18,1134
3698,F,Flight,5,1,211,2,medium,M,1,5913
7129,D,Flight,3,3,203,3,medium,F,3,4196
7724,F,Ship,6,1,293,4,low,F,10,1534
3418,B,Road,5,3,194,4,low,F,2,5396
4864,B,Ship,4,1,241,4,medium,M,9,5360
476,F,Ship,4,5,133,3,low,M,59,1092
7390,B,Road,4,1,139,8,medium,M,6,5667
8209,D,Road,5,5,247,2,medium,M,5,4250
6183,A,Ship,5,5,269,3,low,F,5,5673
3099,A,Ship,5,4,157,4,low,M,58,1252
5189,C,Road,3,1,221,3,high,M,3,5005
4685,C,Ship,4,3,261,3,low,F,9,5994
4433,C,Ship,4,4,143,2,medium,F,3,5630
1721,C,Ship,2,1,177,4,low,M,63,1058
3853,D,Flight,6,4,148,4,low,F,10,5088
1491,A,Road,4,4,204,4,medium,F,35,2513
1241,C,Flight,4,5,210,4,medium,F,28,3905
5308,B,Ship,3,5,133,3,medium,M,7,4314
7756,B,Ship,6,3,250,4,low,M,9,1618
2156,F,Ship,4,3,212,4,low,M,28,2422
2714,F,Road,3,5,226,3,medium,M,55,2465
3449,C,Ship,2,3,144,4,low,F,10,4075
1028,F,Ship,3,1,146,3,medium,M,16,1714
4410,F,Ship,3,4,111,5,medium,F,1,4102
2116,B,Ship,3,3,162,2,medium,M,5,1202
4916,F,Road,3,2,252,3,medium,M,7,4507
9543,A,Ship,3,1,242,5,low,F,3,4026
8760,F,Road,3,2,199,2,medium,F,7,5531
4566,F,Ship,6,2,282,5,medium,M,5,1818
3260,F,Ship,3,3,202,3,medium,F,8,5486
5013,A,Ship,$7,3,278,4,low,F,8,1909
10935,A,Road,5,4,275,5,low,M,4,1522
8563,D,Ship,4,4,229,5,low,M,7,1049
414,F,Flight,4,1,215,2,low,M,32,3066
1929,A,Flight,5,5,177,2,high,F,31,2000
7064,F,Ship,3,3,179,3,low,F,9,4459
1097,C,Flight,5,2,265,3,low,F,12,2892
974,F,Flight,5,4,229,3,medium,M,29,2505
6320,F,Ship,4,3,252,3,medium,F,7,4852
9310,B,Road,5,1,274,2,high,F,8,4647
678,F,Road,6,4,160,2,low,F,31,1689
1672,B,Ship,3,2,192,3,low,F,19,3183
4373,C,Road,3,3,190,3,medium,M,2,4468
7625,C,Ship,5,1,210,2,low,M,2,4079
5941,D,Ship,4,5,212,2,medium,M,10,4552
7098,F,Road,5,1,238,3,high,M,2,5369
10323,A,Ship,2,1,96,2,high,F,9,4449
8361,A,Flight,6,2,243,4,high,M,2,1665
1136,F,Ship,6,1,257,3,medium,M,60,3416
1551,A,Ship,5,5,259,2,medium,M,63,2583
4859,C,Ship,5,4,193,4,high,F,4,5757
7215,A,Ship,6,1,273,4,low,M,3,1361
9894,F,Ship,5,5,211,3,medium,F,7,5983
2088,F,Ship,4,2,124,2,medium,M,50,1592
6317,C,Flight,$7,3,310,4,medium,F,8,1497
2464,B,Flight,5,5,216,6,low,M,54,2075
7374,F,Road,5,4,264,3,high,M,9,5841
5120,F,Ship,3,5,197,3,low,M,4,5423
2646,F,Ship,4,1,217,3,medium,M,2,2692
10158,F,Ship,4,5,163,3,medium,M,1,4049
4528,B,Flight,3,1,174,6,medium,F,4,4910
5413,D,Ship,3,2,177,4,low,F,3,5527
5665,D,Ship,4,5,216,4,medium,F,1,4458
6454,B,Flight,3,2,227,3,low,F,4,4450
5196,F,Road,3,4,284,10,low,M,8,4562
5075,C,Flight,4,5,217,4,medium,F,3,5966
248,F,Road,2,4,160,3,low,F,50,1030
9785,C,Ship,4,4,267,3,medium,M,9,5254
133,D,Flight,5,2,247,3,low,M,17,3889
7733,C,Ship,6,2,246,4,low,M,4,1555
7530,F,Road,5,2,204,5,low,M,3,5723
3597,A,Ship,4,2,271,3,low,M,9,4085
7960,B,Flight,6,4,247,4,low,M,7,1831
5262,F,Ship,6,4,304,4,low,F,2,1749
10834,B,Flight,6,5,258,5,low,F,1,5376
2502,F,Ship,2,1,252,2,low,M,35,2526
1650,F,Flight,3,4,204,3,medium,F,27,2772
8934,F,Ship,5,3,140,5,medium,F,6,1823
1282,B,Ship,3,3,110,3,low,M,7,1235
6540,F,Ship,6,2,300,5,low,M,3,1696
4619,C,Ship,3,4,171,3,low,F,5,5872
5588,F,Ship,4,5,263,3,medium,M,3,4020
1255,D,Ship,3,1,203,4,medium,M,12,2779
5205,A,Flight,5,2,248,3,medium,M,5,5946
3659,C,Ship,3,2,243,3,medium,F,8,4093
7168,B,Ship,5,3,255,5,medium,F,10,1886
5654,F,Ship,5,3,189,3,medium,F,7,5830
6197,C,Ship,3,4,238,2,medium,F,1,4991
1276,B,Ship,4,3,210,2,medium,M,22,3124
5520,F,Ship,3,5,222,2,low,M,9,1321
8391,A,Ship,3,1,133,3,medium,F,5,4538
10393,D,Road,4,2,156,3,medium,M,1,4097
10192,B,Ship,$7,3,306,4,low,F,4,1630
7437,A,Ship,6,1,232,5,high,M,10,4345
1597,D,Ship,5,2,261,3,low,M,62,3352
6367,D,Ship,3,5,227,3,high,M,9,4892
10821,A,Flight,4,1,157,5,low,M,10,4871
3956,F,Road,4,1,224,5,low,F,7,5738
10648,B,Ship,3,3,223,10,low,F,7,4273
8446,B,Ship,3,5,142,2,low,M,6,5974
10712,F,Ship,4,3,263,6,medium,M,10,1345
609,A,Ship,4,4,224,3,high,M,60,3145
9239,C,Ship,4,3,257,3,medium,M,1,5717
6271,D,Ship,6,4,293,6,low,F,7,1117
391,D,Road,4,1,259,3,low,M,20,2154
9356,F,Ship,6,4,257,4,low,F,4,1451
1004,F,Ship,3,3,254,3,medium,M,3,2837
3474,F,Ship,3,2,204,4,low,M,4,4745
2618,F,Flight,4,2,273,2,low,F,9,3383
3804,F,Ship,3,4,196,3,medium,M,8,5204
4010,F,Ship,5,1,185,2,medium,F,10,5973
3701,C,Flight,3,4,183,3,low,F,1,5959
10812,F,Road,5,1,162,3,low,F,4,5869
7716,F,Ship,5,5,262,5,low,M,6,1887
2983,D,Ship,3,5,126,2,low,F,63,1141
9845,C,Road,2,2,174,3,low,F,3,5348
2488,B,Ship,5,2,132,2,medium,M,8,1665
10495,D,Ship,3,4,148,3,medium,M,7,4531
1738,B,Ship,4,1,144,2,high,M,35,1072
7564,B,Ship,4,5,275,5,low,F,6,4450
6115,D,Ship,3,2,204,3,low,F,8,4586
5480,F,Flight,3,2,209,2,medium,M,6,5095
9908,F,Ship,3,1,243,3,medium,M,6,5371
9170,F,Road,6,1,277,5,low,F,2,1190
10716,F,Ship,5,2,254,5,medium,F,4,1926
3179,C,Ship,4,3,237,6,low,M,8,5588
7954,B,Flight,3,2,183,5,low,M,3,1336
10931,C,Ship,4,4,253,5,low,F,2,1709
10540,B,Road,4,1,171,3,medium,M,10,5971
10060,B,Ship,4,5,155,3,low,F,10,5315
7365,A,Ship,4,1,263,2,low,F,5,4010
4481,C,Ship,2,1,210,2,medium,F,6,5250
4511,C,Road,4,2,108,10,medium,M,5,4645
8634,F,Flight,5,1,235,5,low,F,10,1920
2627,C,Ship,3,3,156,3,high,F,20,1305
909,A,Ship,4,1,235,4,low,M,22,2066
7957,D,Flight,5,5,229,6,low,F,6,1857
8688,F,Ship,5,1,176,3,low,M,3,5919
8593,D,Ship,4,1,167,4,high,M,7,5264
9306,F,Road,6,3,199,4,medium,F,1,5204
8352,F,Road,6,2,248,4,low,F,10,1563
8439,A,Ship,6,5,246,5,high,F,3,4660
2886,F,Flight,4,1,253,3,low,M,36,2591
703,D,Ship,3,4,265,8,low,F,35,3299
2834,F,Ship,4,1,165,4,medium,F,34,1831
10724,F,Ship,5,5,221,5,low,M,7,1958
859,D,Ship,4,3,119,5,medium,M,5,1841
8858,F,Ship,6,4,137,8,low,F,9,4374
5393,C,Ship,2,3,257,2,low,F,1,5331
5829,A,Ship,3,3,261,4,low,F,9,4529
1915,D,Flight,5,2,223,3,low,F,51,3687
7290,F,Ship,5,3,202,2,low,F,6,5716
8546,F,Ship,2,4,245,2,medium,F,3,5850
7088,F,Ship,3,3,239,3,low,M,8,5366
7475,C,Ship,5,4,263,4,low,F,2,1625
2064,F,Flight,4,1,124,2,medium,M,22,1714
6159,A,Road,4,5,182,3,medium,F,2,4473
1512,F,Flight,4,4,207,3,low,M,20,2637
3935,C,Ship,6,5,178,3,low,F,5,4096
5045,C,Road,3,5,242,2,low,F,6,5635
4893,A,Ship,5,1,246,3,low,F,3,5013
4546,B,Ship,$7,1,250,5,medium,M,8,1776
1618,B,Road,3,2,204,3,medium,M,48,2792
2924,F,Ship,4,3,134,3,high,F,22,1629
7090,B,Ship,3,3,203,3,medium,F,8,5929
4226,F,Road,4,4,217,2,low,M,6,4029
676,B,Road,4,4,227,3,medium,F,1,2761
5441,C,Ship,3,1,225,2,high,M,6,5274
3030,F,Flight,3,2,224,3,low,M,40,2180
10624,B,Ship,5,5,161,3,high,F,7,5338
5532,F,Ship,6,1,308,4,medium,M,1,1216
4897,D,Ship,3,1,264,4,low,M,10,4265
10164,F,Ship,6,1,269,6,medium,F,2,5363
1377,A,Flight,5,1,274,3,medium,M,58,2098
6382,B,Ship,4,3,271,2,medium,M,9,4967
4959,A,Ship,5,4,250,6,low,F,1,4343
3478,B,Ship,5,2,196,3,low,F,4,4271
8533,D,Ship,4,1,243,5,medium,F,1,4624
8071,D,Road,6,3,217,6,medium,M,3,4209
4866,F,Ship,4,5,261,2,medium,M,6,5920
816,F,Road,4,2,200,4,low,M,43,2747
8925,A,Ship,6,1,307,4,low,F,3,1977
1252,B,Ship,3,1,254,3,medium,M,6,3496
9699,A,Ship,4,2,231,5,low,F,2,1465
10039,D,Ship,2,2,221,2,medium,F,3,4500
6478,B,Ship,3,3,261,8,medium,M,3,4007
10383,A,Ship,4,3,207,2,medium,M,5,4286
5249,C,Ship,4,1,229,4,medium,F,2,5378
6096,F,Ship,6,4,195,5,high,F,10,4225
6019,D,Road,6,5,278,4,medium,F,6,1140
8416,B,Ship,4,1,260,5,low,M,1,5559
7942,B,Flight,4,3,225,8,low,M,8,4718
8931,A,Ship,6,3,273,5,low,M,8,1746
6668,F,Ship,3,3,152,2,medium,M,3,4193
1996,B,Ship,4,5,177,2,low,M,47,1536
9295,D,Road,4,2,217,2,low,M,4,5539
6469,D,Ship,3,5,206,2,low,F,4,4080
6692,F,Road,6,1,259,3,low,F,3,5683
9564,F,Road,4,5,191,2,low,M,10,5068
9042,F,Flight,3,4,181,3,low,M,10,5276
4265,C,Ship,5,4,178,6,medium,M,10,5197
2910,F,Ship,4,3,244,2,low,M,17,3125
4087,D,Road,4,4,164,2,low,F,9,1949
4229,C,Road,6,5,220,3,medium,M,1,5508
4385,C,Flight,3,3,134,2,high,M,1,5646
7624,B,Ship,5,5,183,3,medium,F,3,4071
10929,A,Ship,3,5,278,4,medium,F,8,1785
6749,C,Ship,2,1,248,6,low,F,2,5182
4061,C,Ship,4,5,209,2,low,F,8,4047
9012,F,Ship,3,5,264,4,medium,F,8,4324
10222,B,Ship,4,5,237,5,low,F,9,1978
1930,B,Flight,2,5,193,5,medium,F,13,2882
6015,A,Road,2,3,211,3,low,F,8,1172
10609,D,Ship,3,1,133,3,low,F,10,5640
1480,B,Ship,3,5,225,3,medium,M,8,3813
3743,C,Ship,4,5,231,3,low,M,4,5089
62,F,Ship,3,3,179,3,medium,M,52,1158
6536,F,Ship,3,2,194,3,low,F,3,5779
3045,A,Ship,4,4,243,3,low,M,10,3327
9602,F,Flight,3,1,246,3,low,F,10,4707
9879,A,Flight,4,2,258,5,medium,M,2,1494
3498,F,Ship,3,4,204,2,low,F,10,5844
3745,D,Ship,6,4,256,4,high,M,2,5021
1748,F,Ship,4,5,263,2,low,M,62,2267
8964,F,Ship,5,2,183,5,high,F,8,4820
10792,B,Ship,4,2,259,5,medium,M,7,1042
3762,F,Ship,3,1,252,3,high,F,6,5101
373,D,Ship,4,5,188,3,low,M,38,3031
3775,D,Ship,4,2,204,2,low,F,1,4533
4525,D,Flight,2,4,170,5,low,M,10,5448
4748,F,Ship,5,5,232,7,medium,M,6,5139
714,F,Ship,3,3,273,2,medium,F,16,2466
7297,D,Ship,3,5,196,3,high,F,4,4569
6918,F,Ship,2,2,181,2,low,F,6,1324
3870,F,Ship,5,5,253,2,medium,F,2,4364
1975,D,Ship,5,3,242,3,low,M,58,3411
5897,C,Flight,4,2,252,3,low,F,1,4176
5298,F,Ship,3,2,263,3,medium,F,3,4181
10867,D,Ship,4,3,185,2,low,M,3,5914
698,F,Flight,3,5,151,2,low,F,16,1422
3217,D,Ship,3,4,154,2,medium,M,5,5735
8959,D,Ship,4,2,261,2,medium,F,4,5926
2435,C,Ship,3,5,181,2,low,M,29,2217
6765,A,Ship,6,4,172,6,medium,F,10,5554
10841,C,Ship,3,1,139,2,medium,M,2,4534
6762,F,Ship,5,3,253,3,low,F,3,5944
8750,F,Road,4,2,133,3,medium,F,5,5950
5940,F,Ship,4,4,274,2,low,F,7,4873
6956,F,Ship,5,2,257,3,low,F,2,4677
9391,D,Ship,2,3,224,2,low,F,5,5050
7438,B,Ship,5,2,145,6,medium,M,9,4243
662,F,Road,5,3,146,4,low,M,5,1718
10032,F,Ship,4,1,139,3,medium,F,7,4275
7916,F,Ship,3,1,213,2,low,M,6,4747
6614,F,Ship,5,1,276,5,medium,M,5,1358
5874,F,Road,2,4,242,3,medium,M,8,4898
5467,D,Road,6,1,282,4,medium,M,4,1716
3874,B,Ship,4,5,216,3,medium,M,1,5167
6150,F,Road,4,5,252,2,high,F,6,4147
